"";"X1";"descripcio";"tipusHabitatge";"poble";"parroquia";"dataAnunci";"m2";"numHabitacions";"tipusOferta";"numVisites";"preu";"pm2"
"1";0;"Lloguer - 4 hab. Rustico y confortable piso de 140 m² aproximadamente, en edificación en la periferia del centro de Andorra la Vella con magníficas vistas al valle, la zona se caracteriza por disponer espacios de deporte y colegios. Con buenas calidades de construcción en general, la propiedad consta de un buen salón comedor con un gran ventanal desde donde disfrutaremos de las vistas y del sol hasta última hora, cocina office equipada y con zona de lavandería, 4 dormitorios dobles ( 1 en suitte de confortable tamaño y gran ventanal las otras 3 habitaciones son dobles grandes), 2 baños completos con ducha, plaza de garaje para 2 coches. Esta propiedad puede ser perfectamente tu próximo hogar. En alquiler a 1600 € + 100 € de gastos a cuenta.";"Pis";"andorra la vella";"andorra la vella";"08/11/2019";122,634920634921;4;"Lloguer";161;1600;13,0468547760808
"2";1;"Lloguer 105 m2 - 2 hab. Apartament completament reformat en ple centre d'Andorra. Amb 105 m², dos dormitoris i dos banys, tres terrasses, molt maco i lluminós, amb sol tot el dia i vistes a la muntanya.Apartament completament reformat en ple centre d'Andorra. Amb 105 m², dos dormitoris i dos banys, tres terrasses, molt maco i lluminós, amb sol tot el dia i vistes a la muntanya.Appartement entièrement rénové dans le centre d'Andorre. Avec 105 m², deux chambres et deux salles de bains, trois terrasses, très agréables et lumineuses, avec soleil toute la journée et vue sur la montagne.Apartment completely renovated in the center of Andorra. With 105 m², two bedrooms and two bathrooms, three terraces, very nice and bright, with sun all day and views of the mountain.Apartamento completamente renovado no centro de Andorra. Com 105 m², dois quartos e dois banheiros, três terraços, muito agradáveis ??e luminosos, com sol o dia todo e vista para a montanha.";"NaN";"andorra la vella";"andorra la vella";"06/11/2019";105;2;"Lloguer";124;1200;11,4285714285714
"3";2;"Lloguer 140 m2 - 4 hab. Rústic i confortable pis de 140m2 aproximadament, en edificació a la perifèria del centre d'Andorra la Vella amb magnifiques vistes a la vall, la zona es caracteritza per disposar espais d'esport i col·legis. Amb bones qualitats de construcció en general, la propietat consta d'un bon saló menjador amb un gran finestral des d'on gaudirem de les vistes i del sol fins a ultima hora, cuina office equipada i amb zona de bugaderia, 4 dormitoris dobles (1 en suitte de confortable mida i gran finestral les altres 3 habitacions són dobles grans), 2 banys complets amb dutxa, plaça de garatge per 2 cotxes. Aquesta propietat pot ser perfectament la seva próxima llar.En lloguer a 1600 Â€ + 100 Â€ de despeses a compte.";"Pis";"andorra la vella";"andorra la vella";"06/11/2019";140;4;"Lloguer";348;1500;10,7142857142857
"4";3;"Lloguer 90 m2 - 3 hab. Àtic dúplex en lloguer al centre d'Andorra la Vella, zona plaça Guillemó, 90m² aproximadament distribuïts en 3 dormitoris (suite, doble i individual), 2 banys complets (banyera i dutxa), lavabo amb zona de safareig, cuina semi oberta i saló menjador amb llar de foc. - NO ES PERMETEN ANIMALS";"NaN";"andorra la vella";"andorra la vella";"05/11/2019";90;3;"Lloguer";279;1100;12,2222222222222
"5";4;"Lloguer 95 m2 - 3 hab. Pis de 100m2, distribuits en 3 habitacions dobles, una d'elles amb suite, 2 banys complerts, cuina tancada , saló menjador lluminòs.Calefacció inclosa!!!!Possibilitat de plaça d'aparcament al matex edifici +80€";"Pis";"erts";"andorra la vella";"04/11/2019";95;3;"Lloguer";391;997;10,4947368421053
"6";5;"Lloguer 110 m2 - 2 hab. Pis 2 habitacions,1 bany ,1 aseo ,cuina tancada, semi equipada , 3 terrasses ,sol i vistes ,sense parking pero amb possibilitat a 200 metres .";"Pis";"andorra la vella";"andorra la vella";"31/10/2019";110;2;"Lloguer";565;1190;10,8181818181818
"7";6;"Lloguer 130 m2 - 3 hab. Pis molt centric a Andorra la Vella (zona Super U), acabat de reformat!! Consta de 130m2 distribuits en 3 habitacions, 2 banys, 1 safareig gran. També es poden fer oficines per negoci o vivenda. Possibilitat de llogar plaça d`aparcament al voltant o aparcament comunal a 150m.";"Pis";"andorra la vella";"andorra la vella";"26/10/2019";130;3;"Lloguer";699;1500;11,5384615384615
"8";7;"Lloguer 95 m2 - 3 hab. Pis de lloguer amb acabats d’alta qualitat completament exterior, distribuït en 3 habitacions dobles amb armaris encastats, 1 d’elles tipus suite amb dutxa, 1 bany complet amb banyera, cuina completament equipada amb electrodomèstics d’alta gama i ampli saló menjador amb vistes. Disposa de 2 d’aparcament i un traster a la mateixa finca. Gràcies a la seva ubicació es pot desplaçar a peu a tots els serveis.";"Pis";"andorra la vella";"andorra la vella";"25/10/2019";95;3;"Lloguer";420;1300;13,6842105263158
"9";8;"Lloguer 88 m2 - 3 hab. Pis en lloguer a Andorra de 88m², 3 dormitoris, 2 banys complets, cuina tancada i equipada, saló menjador. Plaça de garatge opcional a 75Â€. NO ANIMALS !!!!! - NO ES PERMETEN ANIMALS";"Pis";"andorra la vella";"andorra la vella";"23/10/2019";88;3;"Lloguer";176;964;10,9545454545455
"10";9;"Lloguer 88 m2 - 3 hab. LLOGUER!!!!!!! PIS  SITUAT EN PLE CENTRE DE LA PARRÓQUIA D'ANDORRA AMB 87,67m2,3 dormitoris dobles, 2 banys complets, cuina amb campana ,vitroceramica, i forn, safareig, rebost, saló menjador, molta llum, Pàrquing a part 75.-Â€, despeses a part. Prohibit animals.";"Pis";"andorra la vella";"andorra la vella";"22/10/2019";88;3;"Lloguer";329;964;10,9545454545455
